frase,sentimento
Eu adorei a experiência,1
Muito bom!,1
Excelente trabalho,1
Fiquei satisfeito,1
Incrível atendimento,1
Serviço maravilhoso,1
Sensacional,1
Gostei bastante,1
Tudo perfeito,1
Fiquei encantado,1
Ótima qualidade,1
Produto muito bom,1
Recomendo demais,1
Superou as expectativas,1
Atendimento nota 10,1
Foi tudo ótimo,1
Me senti valorizado,1
Experiência positiva,1
Top demais,1
Perfeito para mim,1
Estão de parabéns,1
Melhor escolha,1
Serviço nota 1000,1
Simplesmente fantástico,1
Gostei muito,1
Foi excelente,1
Nota máxima,1
Tudo funcionou bem,1
Muito satisfeito,1
Tudo maravilhoso,1
Fiquei feliz com o resultado,1
Altamente recomendado,1
Amei!,1
Tudo correu perfeitamente,1
Impressionado com a qualidade,1
Muito eficiente,1
Funcionou perfeitamente,1
Tudo certo,1
Valeu muito a pena,1
Empresa confiável,1
Nota dez,1
Equipe excelente,1
Simples e eficiente,1
Entrega rápida,1
Tudo lindo,1
Excelente serviço,1
Muito obrigado,1
Produto maravilhoso,1
Voltarei a comprar,1
Muito bom mesmo,1
Odiei a experiência,0
Muito ruim,0
Péssimo serviço,0
Não gostei nada,0
Experiência horrível,0
Muito decepcionado,0
Foi um desastre,0
Nunca mais volto,0
Serviço desprezível,0
Falta de respeito,0
Qualidade ruim,0
Fiquei revoltado,0
Nota zero,0
Nada funciona,0
Não recomendo,0
Perdi meu tempo,0
Me arrependo,0
Fiquei insatisfeito,0
Horrível mesmo,0
Frustrante,0
Muito confuso,0
Demorou demais,0
Produto com defeito,0
Experiência negativa,0
Nunca mais,0
Muito mal feito,0
Atendimento péssimo,0
Nada agradável,0
Péssima entrega,0
O produto não presta,0
Fiquei indignado,0
Não atendeu às expectativas,0
Não vale a pena,0
Muito mal organizado,0
Demoraram demais,0
Erro atrás de erro,0
Péssimo suporte,0
Não funcionou,0
Informações erradas,0
Nada funcionou como esperado,0
Me senti enganado,0
Arrependido da compra,0
Muita espera,0
O pior atendimento,0
Tudo deu errado,0
Deixou a desejar,0
Não gostei,0
Mal atendimento,0
Muito ruim mesmo,0
Não volto mais,0